manufacturer,model,year,mileage,price,hand,fuel,color
Toyota,RAV4,2023,18652,206300,1,petrol,white
Toyota,RAV4,2022,30000,220000,1,hybrid,black
Toyota,RAV4,2022,70000,235000,1,hybrid,black
Toyota,Corolla,2019,142000,69000,3,hybrid,gray
Toyota,Sienna ,2023,39000,302500,1,hybrid,white
Toyota,Sienna,2024,30000,330000,1,hybrid,white
Toyota,Land Cruiser,2019,97000,242000,2,diesel,black
Toyota,Auris ,2017,231000,43000,3,hybrid,blue
Toyota,Land Cruiser,2018,163000,255000,2,diesel,white
Toyota,Camry ,2021,144000,102900,2,hybrid,bronze
Toyota,RAV4,2019,140000,100000,2,hybrid,gray
Toyota,RAV4,2021,99000,162000,1,hybrid,white
Toyota,Corolla,2021,120000,94500,1,hybrid,white
Toyota,Corolla,2023,26000,109850,1,petrol,black
Toyota,Sienna,2023,110000,270000,1,hybrid,white
Toyota,Land Cruiser ,2025,8000,509000,1,hybrid,gold
Toyota,RAV4,2024,24000,175000,1,hybrid,black
Toyota,Verso s,2012,254000,17800,3,petrol,gray
Toyota,Corolla,2007,309000,11000,5,petrol,gray
Toyota,Corolla,2019,130000,70000,1,hybrid,gray
Toyota,Corolla,2020,98000,89990,2,hybrid,gray
Toyota,Corolla,2019,95000,89000,2,hybrid,gray
Toyota,Corolla,2021,63000,103000,1,hybrid,white
Toyota,Prius Plus,2018,262000,84900,2,hybrid,gray
Toyota,Land Cruiser,2008,260000,99000,5,diesel,black
Toyota,Corolla,2007,290000,13000,1,petrol,gray
Toyota,Hilux,2017,340000,128000,1,diesel ,white
Toyota,Corolla,2006,240000,12000,1,petrol,gray
Toyota,Corolla,2019,113000,79000,2,hybrid,gray
Toyota,RAV4,2021,93000,159000,1,hybrid,white
Toyota,RAV4,2017,146000,105000,2,hybrid,white
Toyota,RAV4,2022,30000,220000,1,hybrid,black 
Toyota,RAV4,2022,70000,235000,1,hybrid,black
Toyota,Corolla,2019,142000,69000,3,hybrid,gray
Toyota,Sienna ,2023,39000,302500,1,hybrid,white
Toyota,Sienna,2024,30000,330000,1,hybrid,white
Toyota,Land Cruiser,2019,97000,242000,2,diesel,black
Toyota,Auris,2017,231000,43000,3,hybrid,blue
Toyota,Land Cruiser,2018,163000,255000,2,diesel,white
Toyota,Camry,2021,144000,102900,2,hybrid,bronze
Toyota,Corolla,2021,120000,94500,1,hybrid,white
Toyota,RAV4,2019,140000,100000,2,hybrid,gray
Toyota,RAV4,2021,99000,162000,1,hybrid,white
Toyota,Corolla,2023,26000,109850,1,diesel ,black 
Toyota,Sienna,2023,110000,270000,1,hybrid,white
Toyota,Land Cruiser,2025,8000,509000,1,hybrid,gold
Toyota,Corolla,2020,87000,79000,1,hybrid,gray
Toyota,Auris,2016,147000,46500,2,hybrid,gray
Toyota,Auris,2013,250000,28000,3,hybrid,gray
Kia,Sportage,2020,135000,74500,4,diesel ,white
Kia,Sportage ,2022,45000,132000,1,petrol,gray
Kia,Sportage,2016,82500,54000,3,petrol,black
Kia,Seltos,2021,74000,85000,2,petrol,gray
Kia,Optima,2018,207000,59000,1,hybrid,white
Kia,Picanto,2021,54000,65000,2,petrol ,white
Kia,Niro,2018,169000,64000,2,hybrid,black
Kia,Niro,2019,118000,83000,2,hybrid,black
Kia,Niro,2021,199521,66500,2,hybrid,black
Kia,Sportage,2017,86000,66000,1,petrol,gray
Kia,Niro,2019,105000,80000,2,hybrid,gray
Kia,Picanto,2022,94000,63000,1,petrol,beige
Kia,Picanto,2022,70500,72000,1,petrol ,gray
Kia,Niro,2020,168000,86000,1,hybrid,gray
Kia,Niro,2021,98000,105000,1,hybrid ,white
Kia,Picanto,2018,71000,49900,1,petrol,red 
Kia,Picanto,2018,137000,42900,2,petrol ,black 
Kia,Niro,2020,168000,86000,1,hybrid,black 
Kia,Niro,2021,98000,105000,1,hybrid,white
Kia,Picanto,2020,179000,59500,1,petrol ,white
Kia,Picanto,2020,64500,65500,2,petrol,gray
Kia,Picanto,2021,101500,43000,3,petrol,black
Kia,Sportage,2016,126000,58000,1,petrol ,white
Kia,Picanto,2022,35500,67000,2,petrol,white
Kia,Sportage,2018,162000,55000,2,petrol ,gray
Kia,Picanto,2021,70800,60000,2,petrol ,white
Kia,Picanto,2018,98000,61000,1,petrol ,white
Kia,Sportage,2022,60800,140000,2,petrol,gray
Kia,Sportage,2017,113000,58500,1,petrol ,white
Kia,Niro,2022,38500,122000,1,hybrid,white
Kia,Sportage,2018,120000,65000,2,petrol ,black 
Kia,Sportage,2021,34000,110000,1,diesel,white
Kia,Picanto,2018,32000,56000,2,petrol,white
Kia,Niro,2022,14500,135500,1,hybrid,white
Kia,Niro,2018,128000,69000,2,hybrid,gray
Kia,Niro,2021,171000,71500,2,hybrid ,white
Kia,Sportage,2022,91000,109000,2,hybrid,white
Kia,Sportage,2020,205000,47000,2,diesel ,white
Kia,Picanto,2018,180000,40000,2,petrol,white
Kia,Picanto,2022,26000,62250,2,petrol,red
Kia,Sportage,2015,144000,43000,2,petrol ,black
Kia,Niro,2019,103000,77000,2,hybrid,gray
Kia,Sportage,2020,92000,85000,1,diesel,white
Kia,Niro,2023,71687,110900,1,hybrid,gray
Kia,Niro,2023,55352,115900,1,hybrid ,black
Kia,Niro,2018,170000,69000,2,hybrid,white
Kia,Niro,2021,64000,100000,3,hybrid,black
Kia,Sportage,2017,190000,45100,3,petrol,white
Kia,Sportage,2018,120000,65000,2,petrol,black
Kia,Niro,2023,74223,116620,1,hybrid,gray
Hyundai,Tucson,2019,106000,82000,2,petrol,gray
Hyundai,Tucson,2016,118000,62000,2,petrol ,gray
Hyundai,Tucson,2025,40500,137000,1,petrol,green
Hyundai,Tucson,2025,10100,145900,1,petrol,green
Hyundai,Tucson,2025,23000,185000,1,petrol,black
Hyundai,Tucson,2025,11000,178000,1,petrol,black 
Hyundai,Tucson,2024,32000,155000,2,petrol,gray
Hyundai,Tucson,2024,14000,167000,1,petrol,black
Hyundai,Tucson,2022,96000,109900,1,petrol,gray
Hyundai,Tucson,2024,48000,138000,2,petrol,white
Hyundai,Tucson,2023,70000,141500,1,petrol,black 
Hyundai,Tucson,2023,16000,147000,1,petrol ,gray
Hyundai,Tucson,2023,32000,145000,2,petrol,gray
Hyundai,Tucson,2023,"42,000","124,770",1,petrol,white
Hyundai,Tucson,2023,15500,146000,1,petrol,blue
