manufacturer,model,submodel,year,hand,mileage,engine_liters,horsepower,fuel,transmission,drive_type,body_color,price
Audi,A3,A3 Sportback Sharp,2023,2,64000,1.5,150,Gasoline,Robotic,FWD,Black,139900
Audi,A1,Basis,2016,4,137000,1.0,95,Gasoline,Robotic,FWD,White,39800
Audi,A3,Sportback,2020,1,158000,1.5,150,Gasoline,Robotic,FWD,Black,82900
Audi,A1,Limited,2018,3,96000,1.0,95,Gasoline,Robotic,FWD,Black,66800
Audi,Rs3,,2024,2,15000,2.5,400,Gasoline,Robotic,AWD,White,389770
Audi,Q2,Assistance,2020,1,116356,1.5,150,Gasoline,Robotic,FWD,White,108570
Audi,Q5,Sport,2010,4,260000,2.0,211,Gasoline,Automatic,AWD,Grey,45000
Audi,Q5,Design,2017,3,186000,2.0,252,Gasoline,Robotic,AWD,Silver,86990
Audi,A6,,2019,4,110000,2.0,245,Gasoline,Robotic,AWD,Grey,144000
Audi,A4,Luxury,2013,2,118000,1.8,120,Gasoline,Variable,FWD,White,34400
Audi,80,,1991,4,99000,1.6,85,Gasoline,Automatic,FWD,Light Grey,40000
Audi,Tt,Design,2017,4,116000,2.0,230,Gasoline,Robotic,AWD,Black,119990
Audi,A4,,2008,4,230000,1.8,163,Gasoline,Variable,FWD,Black,40000
Audi,Q3 Sportback,,2024,1,49000,1.4,245,Plug,Robotic,FWD,White,239000
Audi,A4,,2017,3,191900,2.0,190,Gasoline,Robotic,FWD,Grey,68000
Audi,Q5,Limited,2017,3,115000,2.0,180,Gasoline,Automatic,AWD,Black,77900
Audi,A4,,2006,4,191000,1.8,163,Gasoline,Variable,FWD,Silver,12000
Audi,Q3,S Line,2023,2,35000,2.0,190,Gasoline,Robotic,AWD,Black,199990
Audi,Tt,,2002,4,284000,1.8,180,Gasoline,Manual,FWD,Grey,29990
Audi,Q3,Advanced,2019,4,93000,1.5,150,Gasoline,Robotic,FWD,White,117990
Audi,A6,Luxury,2008,3,154000,2.8,210,Gasoline,Variable,FWD,Silver,8000
Audi,Q3 Sportback,,2021,2,95000,1.5,150,Gasoline,Robotic,FWD,White,149000
Audi,A6,Base,2011,4,207000,3.0,290,Gasoline,Automatic,AWD,White,25000
Audi,Q4 Sportback E Tron,,2024,1,54000,,286,Electro,Automatic,RWD,Grey,262000
Audi,A4,35 TFSI Advanced,2020,2,130000,2.0,150,Gasoline,Robotic,FWD,Black,110000
Audi,A3,Luxury,2019,2,114000,1.4,204,Plug,Robotic,FWD,Black,110000
Audi,Q5,Executive,2012,4,140000,2.0,211,Gasoline,Robotic,AWD,White,42000
Audi,A3,,2011,3,264000,1.2,105,Gasoline,Robotic,FWD,White,18000
Audi,A4,Executive,2014,3,223000,1.8,170,Gasoline,Variable,FWD,White,29950
Audi,A1,Basis,2016,3,86000,1.4,125,Gasoline,Robotic,FWD,Silver,49500
Audi,Q7,Premium,2019,1,148000,3.0,374,Plug,Automatic,AWD,Black,174990
Audi,E Tron,Advanced Premium,2019,1,74000,,408,Electro,Automatic,AWD,Black,159990
Audi,A6,Luxury,2008,3,154000,2.8,210,Gasoline,Variable,FWD,Silver,8000
Audi,Q2,Design Assistance 35 TFSI Luxury,2020,2,114000,1.5,150,Gasoline,Robotic,FWD,Black,99990
Audi,Q3 Sportback,,2021,2,95000,1.5,150,Gasoline,Robotic,FWD,White,149000
Audi,Q7,,2020,1,82000,3.0,286,Diesel,Automatic,AWD,Grey,255000
Audi,A6,Base,2011,4,207000,3.0,290,Gasoline,Automatic,AWD,White,25000
Audi,Q4 Sportback E Tron,,2024,1,54000,,286,Electro,Automatic,RWD,Grey,262000
Audi,A4,35 TFSI Advanced,2020,2,130000,2.0,150,Gasoline,Robotic,FWD,Black,110000
Audi,Tt,Design,2020,4,128000,2.0,197,Gasoline,Robotic,FWD,White,134900
Audi,A3,Luxury,2019,2,114000,1.4,204,Plug,Robotic,FWD,Black,110000
Audi,Q2,Design Assistance 35 TFSI Luxury,2017,4,115000,1.4,150,Gasoline,Robotic,FWD,White,69999
Audi,Q5,Executive,2012,4,140000,2.0,211,Gasoline,Robotic,AWD,White,42000
Audi,Q3,Advanced,2019,4,99000,1.5,150,Gasoline,Robotic,FWD,White,117990
Audi,A3,,2011,3,264000,1.2,105,Gasoline,Robotic,FWD,White,18000
Audi,A4,Executive,2014,3,223000,1.8,170,Gasoline,Variable,FWD,White,29950
Audi,A1,Basis,2016,3,86000,1.4,125,Gasoline,Robotic,FWD,Silver,49500
Audi,A8,Base,2015,2,165000,4.0,435,Gasoline,Automatic,AWD,White,93000
Audi,Q3,Basis,2019,3,87000,1.4,150,Gasoline,Robotic,FWD,White,89900
Audi,Q2,Design Assistance 35 TFSI Luxury,2017,2,157000,1.4,150,Gasoline,Robotic,FWD,White,70000
Audi,E Tron,,2019,2,145000,,408,Electro,Automatic,AWD,Black,165000
Audi,Sq7,Base,2017,3,195000,4.0,435,Diesel,Automatic,AWD,Grey,145000
Audi,Q5,Executive,2012,1,138400,2.0,211,Gasoline,Robotic,AWD,White,46000
Audi,A1,,2015,4,175000,1.4,122,Gasoline,Robotic,FWD,White,40000
Audi,A1,,2020,2,53000,1.0,116,Gasoline,Robotic,FWD,White,115000
Audi,Q2,,2018,3,107000,1.0,116,Gasoline,Robotic,FWD,White,70000
Audi,Q5,,2016,3,113000,2.0,230,Gasoline,Automatic,AWD,White,64990
Audi,Q5,Tech Pack,2018,1,98000,2.0,252,Gasoline,Robotic,AWD,Black,138000
Audi,A4,40 TFSI Advanced,2021,3,80000,2.0,204,Gasoline,Robotic,FWD,White,120000
Audi,Q7,Luxury,2011,3,175000,3.0,272,Gasoline,Automatic,AWD,White,64000
Audi,A7,Executive,2012,3,150000,3.0,300,Gasoline,Robotic,AWD,Silver,55000
Audi,Q5,Quattro,2010,2,145000,2.0,211,Gasoline,Automatic,AWD,Black,30000
Audi,A6,Base,2007,1,227000,3.1,255,Gasoline,Automatic,AWD,White,10000
