manufacturer,model,year,price,hand,fuel,engine_liters,horsepower,transmission,mileage
Byd,Atto 3,2022,105900,2,electro,,,automatic,49000
Byd,Seal,2024,149770,1,electro,,,automatic,42000
Byd,Tang,2023,186975,1,electro,,,automatic,69537
Byd,Atto 3,2023,106820,1,electro,,,automatic,80658
Byd,Atto 3,2023,109795,1,electro,,,automatic,70200
Byd,Atto 3,2023,112695,1,electro,,,automatic,61642
Byd,Atto 3,2023,114295,1,electro,,,automatic,61100
Byd,Atto 3,2023,110550,1,electro,,,automatic,56000
Byd,Atto 3,2023,116155,1,electro,,,automatic,54800
Byd,Atto 3,2023,114280,1,electro,,,automatic,40728
Byd,Atto 3,2023,115832,1,electro,,,automatic,30100
Byd,Atto 3,2023,113672,1,electro,,,automatic,27400
Byd,Atto 3,2022,108277,1,electro,,,automatic,65700
Byd,Atto 3,2022,101825,1,electro,,,automatic,54329
Byd,Dolphin,2024,84900,1,electro,,,automatic,41000
Byd,Atto 3,2024,105900,1,electro,,,automatic,49000
Byd,Atto 3,2024,99990,2,electro,,,automatic,69000
Byd,Atto 3,2022,102000,1,electro,,,automatic,68000
Byd,Dolphin,2023,89990,2,electro,,,automatic,44000
Byd,Dolphin,2023,89990,1,electro,,,automatic,59000
Byd,Atto 3,2023,105000,1,electro,,,automatic,50100
Byd,Dolphin,2024,112000,1,electro,,,automatic,9800
Byd,Atto 3,2022,95000,1,electro,,,automatic,90000
Byd,Atto 3,2022,115000,1,electro,,,automatic,47000
Byd,Seal,2024,192000,1,electro,,,automatic,33000
Byd,Atto 3,2024,125000,2,electro,,,automatic,32400
Byd,Atto 3,2023,130000,1,electro,,,automatic,37000
Byd,Atto 3,2023,150000,1,electro,,,automatic,10000
Byd,Atto 3,2022,140000,1,electro,,,automatic,45000
Byd,Atto 3,2023,135000,1,electro,,,automatic,56500
Byd,Atto 3,2023,105000,1,electro,,,automatic,50100
Byd,Dolphin,2024,112000,1,electro,,,automatic,9800
Byd,Atto 3,2023,117000,2,electro,,,automatic,50000
Byd,Atto 3,2022,95000,1,electro,,,automatic,90000
Byd,Atto 3,2023,114990,1,electro,,,automatic,51000
Byd,Atto 3,2022,114900,1,electro,,,automatic,42000
Byd,Atto 3,2022,115000,1,electro,,,automatic,47000
Byd,Seal,2024,192000,1,electro,,,automatic,33000
Byd,Atto 3,2024,125000,2,electro,,,automatic,32400
Byd,Atto 3,2023,130000,1,electro,,,automatic,37000
Byd,Atto 3,2023,150000,1,electro,,,automatic,10000
Byd,Atto 3,2022,140000,1,electro,,,automatic,45000
Byd,Atto 3,2023,135000,1,electro,,,automatic,56500
Byd,Atto 3,2023,149000,2,electro,,,automatic,21000
Byd,Atto 3,2023,135000,1,electro,,,automatic,29000
Byd,Atto 3,2023,160000,1,electro,,,automatic,20000
Byd,Atto 3,2024,132000,1,electro,,,automatic,35000
Byd,Atto 3,2024,129999,1,electro,,,automatic,8000
Byd,Atto 3,2023,108995,1,electro,,,automatic,74526
Byd,Han,2023,289000,1,electro,,,automatic,15500
Honda,Civic,2007,11900,3,gasoline,1.8,140.0,automatic,267000
Mazda,3,2018,75000,1,gasoline,2.0,165.0,automatic,46000
Peugeot,207,2011,10900,3,gasoline,1.6,120.0,automatic,157000
Seat,Leon,2015,30000,4,gasoline,1.4,122.0,manual,155000
Ford,Focus,2012,10900,3,gasoline,1.6,125.0,robotic,196000
Mazda,5,2009,12900,3,gasoline,2.0,145.0,automatic,258000
Citroen,C4 Spacetourer,2021,47000,3,diesel,1.5,130.0,automatic,180000
Volkswagen,Passat,2010,17000,2,diesel,2.0,140.0,robotic,235000
Chevrolet,Trax,2014,25000,3,gasoline,1.4,140.0,automatic,118000
Peugeot,407,2006,7900,2,gasoline,2.0,140.0,automatic,129000
Peugeot,308,2018,35000,2,gasoline,1.2,130.0,automatic,98000
Chevrolet,Sonic,2012,11900,3,gasoline,1.4,101.0,automatic,152000
Citroen,Berlingo,2021,98000,1,diesel,1.5,130.0,automatic,95000
Opel,Astra,2012,7000,3,gasoline,1.6,115.0,automatic,230000
Ford,Focus,2011,12900,3,gasoline,1.6,125.0,robotic,192000
Peugeot,308,2014,9900,4,gasoline,1.6,120.0,automatic,142000
Suzuki,Swift,2010,13900,1,gasoline,1.5,101.0,automatic,247000
Chevrolet,Captiva,2011,21000,2,diesel,2.2,184.0,automatic,228000
Opel,Corsa,2017,17900,2,gasoline,1.4,90.0,automatic,169000
Hyundai,I30,2017,38500,1,gasoline,1.4,100.0,manual,82000
