manufacturer,model,submodel,year,hand,mileage,engine_liters,horsepower,fuel,transmission,drive_type,body_color,price
Mazda,Cx 30,Comfort Black Edition,2024,1,10900,2.0,165,Gasoline,Automatic,FWD,White,123000
Mazda,3,Premium,2018,1,46000,2.0,165,Gasoline,Automatic,FWD,Silver,75000
Mazda,5,Executive,2009,3,258000,2.0,145,Gasoline,Automatic,FWD,Ruby,12900
Mazda,2,Pure White,2021,1,31000,1.5,116,Gasoline,Automatic,FWD,Blue,89900
Mazda,3,Spirit,2010,2,92000,2.0,150,Gasoline,Automatic,FWD,Silver,27900
Mazda,Cx 3,Urban,2024,1,51000,1.5,116,Gasoline,Automatic,FWD,Grey,114900
Mazda,3,Active,2014,1,179000,1.5,120,Gasoline,Automatic,FWD,Silver,29900
Mazda,Cx 3,Pure White,2018,2,160000,2.0,156,Gasoline,Automatic,FWD,Grey,64000
Mazda,2,Dynamic,2020,2,45000,1.5,116,Gasoline,Automatic,FWD,Black,79900
Mazda,3,Comfort,2022,1,113000,2.0,165,Gasoline,Automatic,FWD,White,85800
Mazda,2,Pure White,2016,2,141000,1.5,111,Gasoline,Automatic,FWD,Black,45800
Mazda,3,Comfort,2021,2,118000,2.0,165,Gasoline,Automatic,FWD,White,71800
Mazda,3,Sport,2018,1,84000,2.0,165,Gasoline,Automatic,FWD,Black,74500
Mazda,Cx 3,Urban,2023,1,41000,1.5,116,Gasoline,Automatic,FWD,Black,111900
Mazda,2,Dynamic,2022,1,114000,1.5,116,Gasoline,Automatic,FWD,Black,70000
Mazda,3,Active,2008,2,168000,1.6,105,Gasoline,Automatic,FWD,Blue,13900
Mazda,Cx 5,Executive,2021,2,62000,2.0,165,Gasoline,Automatic,FWD,White,124900
Mazda,Cx 5,Executive,2013,2,178000,2.0,155,Gasoline,Automatic,FWD,Silver,37900
Mazda,5,Luxury,2009,2,134000,2.0,145,Gasoline,Automatic,FWD,Silver,19500
Mazda,5,Executive,2011,3,187000,2.0,144,Gasoline,Automatic,FWD,Black,27900
Mazda,3,Comfort,2017,4,187777,1.5,120,Gasoline,Automatic,FWD,Black,38900
Mazda,3,Active,2006,4,286000,1.6,105,Gasoline,Automatic,FWD,White,5500
Mazda,3,Spirit,2009,4,295000,2.0,150,Gasoline,Automatic,FWD,Grey,7500
Mazda,2,Active,2012,2,153820,1.5,103,Gasoline,Automatic,FWD,Ruby,18500
Mazda,2,Dynamic,2023,1,100000,1.5,116,Gasoline,Automatic,FWD,White,69000
Mazda,3,Active,2014,3,200000,1.5,120,Gasoline,Automatic,FWD,Blue,29000
Mazda,3,Active,2005,3,250000,1.6,105,Gasoline,Automatic,FWD,Light blue,2900
Mazda,3,Spirit,2020,3,90000,2.0,165,Gasoline,Automatic,FWD,Black,90000
Mazda,3,Spirit,2021,2,99000,2.0,165,Gasoline,Automatic,FWD,Silver,85000
Mazda,3,Comfort,2010,3,257500,1.6,105,Gasoline,Automatic,FWD,Red,19000
Mazda,3,Active,2008,2,168000,1.6,105,Gasoline,Automatic,FWD,Blue,13900
Mazda,3,Comfort,2021,2,67000,2.0,165,Gasoline,Automatic,FWD,White,84900
Mazda,3,Comfort,2017,4,187777,1.5,120,Gasoline,Automatic,FWD,Black,38900
Mazda,3,Active,2006,4,286000,1.6,105,Gasoline,Automatic,FWD,White,5500
Mazda,Cx 5,,2023,2,64786,2.0,165,Gasoline,Automatic,FWD,White,131045
Mazda,Cx 30,,2022,2,101953,2.0,165,Gasoline,Automatic,FWD,White,98245
Mazda,Cx 30,,2022,1,50711,2.0,165,Gasoline,Automatic,FWD,White,121835
Mazda,Cx 3,Zoom,2024,1,72816,1.5,116,Gasoline,Automatic,FWD,White,110925
Mazda,Cx 3,Zoom,2024,1,38801,1.5,116,Gasoline,Automatic,FWD,White,109355
Mazda,Cx 3,Urban,2023,2,36000,1.5,116,Gasoline,Automatic,FWD,White,108380
Mazda,6,Luxury,2022,1,91936,2.0,165,Gasoline,Automatic,FWD,White,89770
Mazda,3,Sport,2019,2,157800,2.0,165,Gasoline,Automatic,FWD,Black,62250
Mazda,3,Active,2014,2,103824,1.5,120,Gasoline,Automatic,FWD,Silver,42882
Mazda,2,Dynamic,2022,1,72000,1.5,116,Gasoline,Automatic,FWD,Golden,81662
Mazda,2,Dynamic,2021,2,114332,1.5,116,Gasoline,Automatic,FWD,Grey,79475
Mazda,Cx 5,Executive,2021,1,97426,2.0,165,Gasoline,Automatic,FWD,Silver,120690
Mazda,Cx 5,Premium,2021,1,92470,2.0,165,Gasoline,Automatic,FWD,Black,131275
Mazda,Cx 5,Executive,2017,2,143000,2.0,165,Gasoline,Automatic,FWD,Silver,74505
Mazda,Cx 3,Zoom,2021,3,79500,2.0,156,Gasoline,Automatic,FWD,White,89505
Mazda,3,Comfort,2010,3,141000,1.6,105,Gasoline,Automatic,FWD,Silver,22000
Mazda,3,Active,2009,3,203000,1.6,105,Gasoline,Automatic,FWD,Silver,16000
Mazda,3,Active,2009,3,220000,1.6,105,Gasoline,Automatic,FWD,Silver,7600
